FANTASY_POINTS
753.0
544.2
587.5
969.9000000000001
621.1
594.4
554.5
808.0
884.2
838.2
901.5999999999999
797.2
1314.6
474.1
552.4
687.0
514.9
499.0
886.9
189.9
697.1
325.8
465.8
569.9
793.6
691.4
590.6
661.2
920.0
643.1
557.4
634.1
562.0
542.5999999999999
848.8
283.0
1218.9
698.5
476.1
694.0
675.5
638.8
634.4
646.9
696.2
611.3
777.0999999999999
335.3
430.7
664.6
604.9
534.5
860.9
655.1
478.8
584.0
636.9
787.2
375.1
622.7
465.6
545.4
712.7
398.0
538.5
742.9
559.0
476.5
395.0
463.3
568.3
890.3
619.0
582.4
705.7
690.6
1027.6
602.5
540.3
560.9
423.4
653.3
1171.8
868.5
526.8
730.0
834.0
547.4
719.2
765.3
676.5
826.8
845.0
361.0
723.3
372.7
876.9
570.1
708.8
720.2
780.5
901.9
489.8
583.7
702.0
769.5999999999999
557.1
595.5
417.6
799.9
727.5
960.4000000000001
430.6
659.7
499.6
327.8
870.2
806.4
550.4
396.3
521.2
447.3
809.9
561.6
680.2
446.6
332.9
495.2
823.0
820.7
706.4
811.5999999999999
1119.0
329.0
783.7
787.9
737.3
494.5
508.3
478.0
1182.3
672.5
733.2
733.0999999999999
615.6
559.6
807.1
728.8
751.1
864.1
543.3
737.3
986.7
494.9
639.8
597.6
612.5
572.7
709.4
487.6
523.5
484.3
686.7
815.9
699.4
614.0
651.0999999999999
576.0
832.7
802.0
974.0999999999999
365.3
656.1
578.1
444.2
813.7
670.3
746.0
714.4
473.9
635.3
435.9
635.1
773.5
412.3
723.1
464.0
760.4
532.0
723.9
514.2
790.7
392.3
649.4
814.3
951.3
336.1
714.5999999999999
602.2
429.6
652.1
698.3
577.1
708.4
966.5
770.1
638.1
641.9
671.8
1267.4
757.2
908.6
646.3
797.9
758.8
624.0
639.1
769.0
451.1
643.5
734.2
545.7
603.6
858.6
