Player,Team,Class,Height,Position
Aaliyah Edwards, UConn (Big East),Sr.,6-3,F
Maggie Doogan, Richmond (Atlantic 10),So.,6-2,F
Katlyn Manuel, ULM (Sun Belt),Jr.,6-1,F
Kelsey Rees, Oregon St. (Pac-12),So.,6-5,F
Jordana Reisma, Cleveland St. (Horizon),So.,6-3,F
Kim Villalobos, San Diego St. (Mountain West),Sr.,6-0,F
Yvonne Ejim, Gonzaga (WCC),Sr.,6-1,F
Elle Evans, North Dakota St. (Summit League),So.,6-3,G
Angel Reese, LSU (SEC),Sr.,6-3,F
Matehya Bryant, UC Riverside (Big West),Sr.,6-0,F
Cheyanne Daniels, Southeastern La. (Southland),Jr.,6-3,F
Grace Hall, Penn St. (Big Ten),Fr.,6-1,F
Harsimran Kaur, San Diego (WCC),Jr.,6-4,F
Nile Miller, Howard (MEAC),So.,6-1,F
Katie Novik, Morehead St. (OVC),Fr.,5-9,G
Tracey Hueston, Charlotte (AAC),Sr.,6-2,F
Anna Olson, Vermont (America East),Sr.,6-1,F
Jasmine Kondrakiewicz, Green Bay (Horizon),Jr.,6-1,F
Ines Piper, Temple (AAC),Jr.,6-0,F
Summah Hanson, Sacramento St. (Big Sky),Fr.,6-2,F
Peyton McFarland, Houston (Big 12),Jr.,6-4,F
Carys Roy, Saint Peter's (MAAC),Fr.,6-3,C
Petra Juric, Manhattan (MAAC),Jr.,6-2,F
Denai Bowman, Binghamton (America East),Sr.,5-9,G
Kyrah  Brodie, Pepperdine (WCC),So.,6-3,C
Oralye Kiefer, Northeastern (CAA),So.,6-3,F
Jazmyn Turner, IUPUI (Horizon),Sr.,6-2,F
Tiasia McMillan, Colgate (Patriot),Sr.,6-0,F
Clarice Akunwafo, Southern California (Pac-12),Jr.,6-6,C
Aaliyah Roberson, TCU (Big 12),So.,6-2,F
Mallory Brake, Creighton (Big East),Sr.,6-0,F
Helene Haegerstrand, UAlbany (America East),Sr.,6-1,F
Marah Dykstra, Montana St. (Big Sky),So.,6-2,F
Kiki Iriafen, Stanford (Pac-12),Jr.,6-3,F
Alissa Pili, Utah (Pac-12),Sr.,6-2,F
Audi Crooks, Iowa St. (Big 12),Fr.,6-3,C
Peyton Kennedy, Saint Louis (Atlantic 10),Sr.,5-11,F
Danae McNeal, East Carolina (AAC),Sr.,6-0,G
Desi-Rae Young, UNLV (Mountain West),Sr.,6-1,C
Jada Guinn, Chattanooga (SoCon),Sr.,5-8,G
Lauren Gustin, BYU (Big 12),Sr.,6-1,F
Ja'Naiya Quinerly, West Virginia (Big 12),Jr.,5-8,G
Katelyn Young, Murray St. (MVC),Sr.,6-1,C
Anne Simon, Maine (America East),Sr.,5-8,G
Edyn Battle, Jacksonville (ASUN),So.,5-7,G
Alexis Hutchison, Wright St. (Horizon),Sr.,5-7,G
Aziaha James, NC State (ACC),Jr.,5-9,G
Kyla McMakin, Saint Louis (Atlantic 10),Sr.,5-11,G
Terren Ward, Ga. Southern (Sun Belt),Sr.,5-11,G
Unique Drake, St. John's (NY) (Big East),Sr.,5-7,G
Raegan McCowan, Western Ill. (OVC),Fr.,5-11,G
Delanie Crawford, Tulsa (AAC),Jr.,5-11,G
Ja'Mia Hollings, Troy (Sun Belt),Sr.,6-2,F
Alexis Markowski, Nebraska (Big Ten),Jr.,6-3,C
Chloe Webb, California Baptist (WAC),Sr.,5-8,G
Grace Berg, Drake (MVC),Sr.,6-0,F
Abbey Hsu, Columbia (Ivy League),Sr.,5-11,G
Sarah Ashlee Barker, Alabama (SEC),Jr.,6-0,G
Jerkaila Jordan, Mississippi St. (SEC),Sr.,5-9,G
Mickayla Perdue, Cleveland St. (Horizon),Sr.,5-6,G
Javyn Nicholson, Georgia (SEC),Sr.,6-2,F
Kurstyn Harden, SFA (WAC),Sr.,6-3,C
Lex Therien, Loyola Maryland (Patriot),Jr.,6-1,F
Zanai Barnett-Gay, Navy (Patriot),Fr.,5-8,G
Kacie Borowicz, North Dakota (Summit League),Sr.,5-9,G
Talya Brugler, Saint Joseph's (Atlantic 10),Jr.,6-1,F
Kayla Cooper, UAlbany (America East),Sr.,6-0,G
Taleyah Jones, Oral Roberts (Summit League),So.,5-10,G
Skylar Vann, Oklahoma (Big 12),Sr.,6-0,G
Bronagh Power-Cassidy, Holy Cross (Patriot),Sr.,5-10,G
Laniah Randle, Southern Ill. (MVC),Jr.,5-9,G
Rickea Jackson, Tennessee (SEC),Sr.,6-2,F
Aliyah Matharu, Florida (SEC),Sr.,5-7,G
Kaitlin Peterson, UCF (Big 12),Jr.,5-8,G
Tai'Sheka Porchia, Troy (Sun Belt),Sr.,6-1,F
Dazia Lawrence, Charlotte (AAC),Jr.,5-8,G
Milahnie Perry, Air Force (Mountain West),So.,5-7,G
Antwainette Walker, Eastern Ky. (ASUN),Sr.,5-11,G
Kaitlyn Zarycki, Western Mich. (MAC),Sr.,5-8,G
Ahriahna Grizzle, Florida A&M (SWAC),Sr.,5-9,G
Laila Phelia, Michigan (Big Ten),Jr.,6-0,G
Honesty Scott-Grayson, Auburn (SEC),Sr.,5-9,G
Hannah Stuelke, Iowa (Big Ten),So.,6-2,F
Amari Robinson, Clemson (ACC),Sr.,6-0,F
Adryana Quezada, San Diego St. (Mountain West),Sr.,5-10,F
Leilani Correa, Florida (SEC),Sr.,6-0,G
Faith Alston, App State (Sun Belt),Sr.,5-7,G
Carter McCray, Northern Ky. (Horizon),Fr.,6-1,C
Tessa Miller, Belmont (MVC),Jr.,6-2,F
Jalei Oglesby, Oral Roberts (Summit League),Jr.,5-8,G
Samora Watson, Central Conn. St. (NEC),So.,5-6,G
Kenley McCarn, UT Martin (OVC),Fr.,5-11,G
Peyton McDaniel, James Madison (Sun Belt),Jr.,6-0,G
Tiara Young, SMU (AAC),Sr.,5-9,G
Romi Levy, South Fla. (AAC),So.,6-2,F
Destiny Adams, Rutgers (Big Ten),Jr.,6-3,F
Alexis Whitfield, UC Santa Barbara (Big West),Sr.,6-2,F
Mikaylah Williams, LSU (SEC),Fr.,6-0,G
Kate Martin, Iowa (Big Ten),Sr.,6-0,G
Mayé Touré, Rhode Island (Atlantic 10),Sr.,6-2,F
Natalie McNeal, Green Bay (Horizon),Jr.,5-8,G
Amellia Bromenschenkel, Purdue Fort Wayne (Horizon),Sr.,5-11,G
Faith Lee, Little Rock (OVC),So.,5-11,F
Jada Logan, Col. of Charleston (CAA),Sr.,5-9,G
Ashlyn Traylor-Walker, Radford (Big South),So.,5-8,G
Sisi Eleko, Canisius (MAAC),So.,6-2,F
Laura Ziegler, Saint Joseph's (Atlantic 10),So.,6-2,F
Jalyn Brown, Arizona St. (Pac-12),So.,6-1,G
Marquesha Davis, Ole Miss (SEC),Sr.,6-0,F
Leah Earnest, Valparaiso (MVC),Sr.,5-10,G
Ajae Petty, Kentucky (SEC),Sr.,6-3,F
Eleonora Villa, Washington St. (Pac-12),Fr.,5-8,G
DeAnna Wilson, Illinois St. (MVC),Sr.,6-2,F
S'Mya Nichols, Kansas (Big 12),Fr.,6-0,G
Jillian Hayes, Cincinnati (Big 12),Sr.,6-1,F
Jakayla Johnson, ULM (Sun Belt),Jr.,5-9,G
DesiRay Kernal, North Texas (AAC),Sr.,6-0,F
Jane Asinde, UTEP (CUSA),Sr.,6-1,F
Jordan Webster, UC Riverside (Big West),Sr.,5-10,G
Reagan Bass, Akron (MAC),Jr.,6-1,F
Khamari Mitchell-Steen, Northern Ky. (Horizon),Jr.,5-7,G
Raven Thompson, Chattanooga (SoCon),So.,5-10,F
Bailey Maupin, Texas Tech (Big 12),So.,5-10,G
Alecia Westbrook, A&M-Corpus Christi (Southland),Sr.,6-1,F
Nylah Young, William & Mary (CAA),Sr.,5-11,F
Akasha  Davis, Lamar University (Southland),Jr.,6-2,C
Mia Moore, UAB (AAC),So.,5-6,G
Daejah Phillips, Hawaii (Big West),Jr.,5-10,G
Bryanna Brady, Presbyterian (Big South),Sr.,6-3,C
Jasmine Gayles, San Francisco (WCC),Sr.,5-7,G
Nyah Wilson, New Mexico (Mountain West),Jr.,5-8,G
Taylor Henderson, UNCW (CAA),So.,5-11,G
Lauren Bevis, High Point (Big South),Sr.,5-5,G
Kade Hackerott, UTRGV (WAC),Jr.,5-11,G
Kirsten Lewis-Williams, Buffalo (MAC),Fr.,5-10,G
Chloe Wilson, Delaware (CAA),Sr.,5-11,F
Kiki Jefferson, Louisville (ACC),Sr.,6-1,G
Cotie McMahon, Ohio St. (Big Ten),So.,6-0,F
Katie Shumate, Kent St. (MAC),Sr.,5-11,G
Jordan Jones, Denver (Summit League),So.,5-11,G
Alyssa Fisher, Loyola Chicago (Atlantic 10),Sr.,5-7,G
Bri McDaniel, Maryland (Big Ten),So.,5-10,G
Iyana Moore, Vanderbilt (SEC),Jr.,5-8,G
Emilia Tenbrock, McNeese (Southland),Jr.,6-0,G
Grace VanSlooten, Oregon (Pac-12),So.,6-3,F
Arin Freeman, Coastal Carolina (Sun Belt),Jr.,5-7,G
Liz Smith, Pacific (WCC),Sr.,5-9,G
Cheyenne Stubbs, Utah St. (Mountain West),Jr.,5-5,G
Anna Deets, Western Ill. (OVC),Sr.,5-9,G
Ja'Niah Henson, Texas St. (Sun Belt),Sr.,5-3,G
Molly Kaiser, New Mexico St. (CUSA),Sr.,5-8,G
Kynidi Mason Striverson, Evansville (MVC),So.,5-8,G
Jasmine Shavers, Texas Tech (Big 12),So.,5-9,G
Kacee Baumhower, Wright St. (Horizon),Jr.,5-9,G
Emani Jefferson, FGCU (ASUN),Jr.,5-6,G
Aaliyah Alexander, Eastern Wash. (Big Sky),So.,5-8,G
Brooklyn Gray, Saint Louis (Atlantic 10),So.,5-11,G
Prencis Harden, Kennesaw St. (ASUN),Jr.,5-11,F
Daryn Hickok, Weber St. (Big Sky),Sr.,5-10,F
Moulayna Johnson Sidi Baba, UC Irvine (Big West),Sr.,6-1,G
Ryann Payne, Prairie View (SWAC),Sr.,5-7,G
Dontavia Waggoner, Boston College (ACC),Sr.,6-0,G
Abby Conklin, FDU (NEC),Sr.,5-7,G
Courtney Whitson, Middle Tenn. (CUSA),Sr.,6-0,F
Jalynn Gregory, Middle Tenn. (CUSA),Jr.,5-8,G
Madison Griggs, Memphis (AAC),Sr.,5-9,G
Taliah Scott, Arkansas (SEC),Fr.,5-9,G
Chance Gray, Oregon (Pac-12),So.,5-9,G
Derin Erdogan, Northeastern (CAA),Sr.,5-6,G
Esmeralda Morales, Portland St. (Big Sky),Jr.,5-5,G
Lexi Donarski, North Carolina (ACC),Sr.,6-0,G
Annabelle Schultz, Wofford (SoCon),Sr.,5-7,G
Sonia Citron, Notre Dame (ACC),Jr.,6-1,G
Hannah Simental, Northern Colo. (Big Sky),Sr.,5-8,G
Quincy Noble, Oklahoma St. (Big 12),Sr.,5-10,G
Nashani Gilbert, Florida A&M (SWAC),Jr.,5-10,G
Taylor Donaldson, Fordham (Atlantic 10),Sr.,5-10,G
Delaynie Byrne, Northern Colo. (Big Sky),Sr.,6-3,F
Meghan Kenefick, Central Conn. St. (NEC),Sr.,6-0,F
Evanne Turner, UC Davis (Big West),Sr.,5-9,G
Lola Mullaney, Harvard (Ivy League),Sr.,5-11,G
Madison Conner, TCU (Big 12),Jr.,5-11,G
Belle Lanpher, Central Conn. St. (NEC),Jr.,5-5,G
Zaria Shazer, Marist (MAAC),Sr.,6-1,F
Grace Heeps, Canisius (MAAC),Sr.,5-11,G
Taleah Washington, Wagner (NEC),Sr.,5-7,G
Gabi Vidmar, Cal St. Fullerton (Big West),Sr.,5-10,G
Zakiyah Franklin, Kansas (Big 12),Sr.,5-7,G
Jayla Brooks, Little Rock (OVC),Sr.,5-7,G
Azjah Reeves, McNeese (Southland),Fr.,5-8,G
Hannah Jump, Stanford (Pac-12),Sr.,6-0,G
Saniah Parker, Tennessee St. (OVC),Jr.,5-9,G
Kyla Jones, Brown (Ivy League),Sr.,5-9,G
Jackie Grisdale, Quinnipiac (MAAC),Jr.,5-9,G
Shaunae Brown, CSU Bakersfield (Big West),Jr.,5-5,G
Jessica Tomasetti, Mount St. Mary's (MAAC),Sr.,5-5,G
Jayme DeCesare, Merrimack (NEC),Sr.,5-5,G
Lauryn Pendleton, Arkansas St. (Sun Belt),Jr.,5-9,G
Brandi Williams, Louisiana (Sun Belt),Sr.,5-6,G
Grace Grocholski, Minnesota (Big Ten),Fr.,5-10,F
Trayanna  Crisp, Arizona St. (Pac-12),So.,5-8,G
Daylani Ballena, Southern Utah (WAC),Sr.,5-8,G
Patricia Anumgba, Towson (CAA),Jr.,5-5,G
Morgan Callahan, N.C. Central (MEAC),Jr.,6-1,F
Tilda Sjökvist, Presbyterian (Big South),So.,5-7,G
Mallory Heyer, Minnesota (Big Ten),So.,6-1,F
Makayla Daniels, Arkansas (SEC),Sr.,5-8,G
Evan Miller, UNCW (CAA),Sr.,5-11,G
Savannah Tucker, Long Beach St. (Big West),Jr.,5-9,G
Bella Vinson, Lipscomb (ASUN),Jr.,6-2,G
Jaylia Reed, Mississippi Val. (SWAC),Jr.,5-6,G
Lauren Schwartz, Washington (Pac-12),Sr.,5-11,F
Sofia Bell, Oregon (Pac-12),Fr.,6-1,G
Lior Garzon, Oklahoma St. (Big 12),Sr.,6-1,F
D’Mya Tucker, N.C. A&T (CAA),Sr.,5-11,G
Maleia Bracone, N.C. A&T (CAA),Jr.,5-10,G
Sara Scalia, Indiana (Big Ten),Sr.,5-10,G
Sarah Te-Biasu, VCU (Atlantic 10),Sr.,5-5,G
Brynna Maxwell, Gonzaga (WCC),Sr.,6-0,G
Heaven Hamling, North Dakota St. (Summit League),Sr.,5-8,G
Abbey Ellis, Purdue (Big Ten),Sr.,5-5,G
Amiah Simmons, Alabama A&M (SWAC),Jr.,5-9,G
Morgan Maly, Creighton (Big East),Sr.,6-1,G
Caroline Strande, Butler (Big East),Sr.,5-11,G
Aaliyah Nye, Alabama (SEC),Jr.,5-11,G
Maaliya Owens, Tennessee Tech (OVC),Sr.,5-9,G
Halli Poock, Bradley (MVC),Fr.,5-4,G
Makayia Hallmon, Troy (Sun Belt),Sr.,5-3,G
Tova Sabel, UC Davis (Big West),Jr.,5-11,G
Kyren Whittington, Tulane (AAC),Jr.,5-9,G
Taryn Barbot, Col. of Charleston (CAA),Fr.,5-10,G
Kara Dunn, Georgia Tech (ACC),So.,5-11,G
Diamond Johnson, Norfolk St. (MEAC),Sr.,5-5,G
Aislynn Hayes, Marshall (Sun Belt),Jr.,5-6,G
Jayde Gamble, UNC Greensboro (SoCon),Jr.,5-6,G
Natalie Pasco, Boise St. (Mountain West),So.,5-10,F
Kendall Bostic, Illinois (Big Ten),Sr.,6-2,F
Marissa Gasaway, Winthrop (Big South),Jr.,5-11,F
Blessing King, Morehead St. (OVC),So.,5-10,F
Ruthie Udoumoh, Oral Roberts (Summit League),Sr.,6-1,F
Alisha Wilson, Alabama A&M (SWAC),Jr.,6-2,F
Ellie Mitchell, Princeton (Ivy League),Sr.,6-1,F
Daniela Abies, Wichita St. (AAC),So.,6-0,F
Simone Foreman, Holy Cross (Patriot),So.,5-9,G
Arianna Smith, Dayton (Atlantic 10),So.,6-2,F
Brooke Stonebraker, NIU (MAC),Sr.,6-3,F
Makaila Cange, Coastal Carolina (Sun Belt),Sr.,5-11,F
Evelien Lutje Schipholt, South Fla. (AAC),Sr.,6-2,F
Mykel Parham, VCU (Atlantic 10),Sr.,6-1,F
Janeta Rozentale, Fla. Atlantic (AAC),Sr.,6-0,F
Aijha Blackwell, Baylor (Big 12),Sr.,6-0,G
Madison Hayes, NC State (ACC),Sr.,6-0,G
Kennedi Myles, Eastern Mich. (MAC),Sr.,6-2,F
Eliza Hollingsworth, Gonzaga (WCC),Sr.,6-2,F
Alyssa Brown, UNLV (Mountain West),Jr.,6-1,F
Quay Miller, Colorado (Pac-12),Sr.,6-3,C
Jada Session, Furman (SoCon),Jr.,6-1,F
Sydney Affolter, Iowa (Big Ten),Jr.,5-11,G
Kasey Neubert, San Diego (WCC),Sr.,6-1,F
Teneisia Brown, FDU (NEC),Sr.,6-2,F
Uju Ezeudu, FGCU (ASUN),Sr.,6-0,F
Madison Adamson, Charleston So. (Big South),Jr.,6-0,F
Graceann Bennett, Georgetown (Big East),Sr.,6-3,F
Alancia Ramsey, Coastal Carolina (Sun Belt),Fr.,6-0,F
Timea Gardiner, Oregon St. (Pac-12),So.,6-3,F
Irene Murua, Detroit Mercy (Horizon),Sr.,6-1,F
Mayowa Taiwo, George Washington (Atlantic 10),Sr.,6-0,F
Nakia Cheatham, Alcorn (SWAC),Sr.,6-0,F
Isabella Hunt, Mount St. Mary's (MAAC),Sr.,5-11,F
Grace Boffeli, UNI (MVC),Jr.,6-1,F
Nila Blackford, Xavier (Big East),Sr.,6-2,F
Erin Wilson, UTEP (CUSA),Sr.,5-10,G
Taylor Langan, Rider (MAAC),Sr.,5-10,G
Fatmata Janneh, Saint Peter's (MAAC),Fr.,6-1,F
Saniyah Craig, Jacksonville (ASUN),Fr.,6-1,F
Kayanna Spriggs, CSUN (Big West),Jr.,6-2,F
Jane Nwaba, Pepperdine (WCC),Sr.,5-10,F
Janiah Barker, Texas A&M (SEC),So.,6-4,F
Catie Cunningham, Marist (MAAC),Jr.,5-11,G
Maggie Hartwig, Evansville (MVC),Fr.,6-1,F
N'Denasija Collins, Houston Christian (Southland),Sr.,6-0,F
Emma Broermann, North Florida (ASUN),Sr.,6-3,F
Alexis Mark, LMU (CA) (WCC),Sr.,6-0,F
McKenzie Stewart, Delaware St. (MEAC),Fr.,6-0,F
Bridget Dunn, Kent St. (MAC),Jr.,6-3,F
Taniya Hanner, Radford (Big South),Sr.,6-1,F
Ava Uhrich, Southern Utah (WAC),Fr.,0-0,
Nyla McGill, Yale (Ivy League),Jr.,5-8,G
Brooke Anya, Hofstra (CAA),Sr.,6-0,F
Destiny Terrell, UIW (Southland),Sr.,5-9,G
Kiera  Edmonds, Wagner (NEC),Fr.,6-2,F
Kya Smith, Army West Point (Patriot),Fr.,6-1,F
Wynter Rogers, Arkansas St. (Sun Belt),Jr.,5-11,G
Chyna Cornwell, Rutgers (Big Ten),Sr.,6-3,F
Darianna Littlepage-Buggs, Baylor (Big 12),So.,6-1,F
Anna Blount, UMBC (America East),Sr.,6-1,F
Stefanie Kulesza, Massachusetts (Atlantic 10),Jr.,5-11,G
Anijah Grant, Grambling (SWAC),Sr.,6-2,F
Olivia Summiel, Virginia Tech (ACC),Sr.,6-2,F
Jade Blagrove, Manhattan (MAAC),Sr.,6-2,F
Kennedy Taylor, Missouri St. (MVC),Jr.,6-3,F
Paige Allen, A&M-Corpus Christi (Southland),Sr.,5-8,G
Mia  Jacobs, Fresno St. (Mountain West),So.,6-2,F
Frannie Hottinger, Marquette (Big East),Sr.,6-1,F
Kacey Spink, Idaho St. (Big Sky),So.,5-9,G
Kseniia Kozlova, James Madison (Sun Belt),Sr.,6-3,C
Simone Cunningham, Old Dominion (Sun Belt),Jr.,5-10,G
Mya Glanton, Indiana St. (MVC),Sr.,6-0,F
Otaifo Esenabhalu, Longwood (Big South),Fr.,6-2,F
Malia Fisher, Rice (AAC),Jr.,6-2,F
Evangelia Paulk, Wofford (SoCon),Fr.,6-0,G
McKinley Brooks-Sumpter, UNC Asheville (Big South),Sr.,5-8,G
Marta Suárez, California (Pac-12),Jr.,6-3,F
Isabell West, USC Upstate (Big South),Sr.,6-1,G
Kennedy Johnson, Idaho (Big Sky),So.,5-11,G
Ashanti Barnes, James Madison (Sun Belt),Jr.,6-2,F
Sydney Woodley, Long Beach St. (Big West),So.,5-8,G
Aaliyah Parker, Niagara (MAAC),Jr.,5-9,G
Kaye Clark, Old Dominion (Sun Belt),Sr.,5-7,G
Sh'Diamond McKnight, Mississippi Val. (SWAC),Jr.,5-7,G
Sydney Watkins, UMass Lowell (America East),Jr.,5-8,G
Kiki McIntyre, Longwood (Big South),Sr.,5-7,G
Deja Lee, UC Irvine (Big West),Jr.,5-9,G
Katlyn Gilbert, DePaul (Big East),Sr.,5-10,G
Rakisha Ballinger, Wagner (NEC),Jr.,5-8,G
Janelle Brown, Fairfield (MAAC),Sr.,5-6,G
Ashley Austin, LIU (NEC),Sr.,5-6,G
Alexis Calderon, New Orleans (Southland),Jr.,5-4,G
En'Dya Buford, Old Dominion (Sun Belt),Sr.,5-7,G
Kyah Watson, West Virginia (Big 12),Jr.,5-10,G
Brooke Quarles-Daniels, Oakland (Horizon),So.,5-6,G
Aicha Coulibaly, Texas A&M (SEC),Sr.,6-0,G
Lauren Fields, West Virginia (Big 12),Sr.,5-9,G
Chardonnay Hartley, Niagara (MAAC),So.,5-3,G
Emme Shearer, Portland (WCC),Sr.,6-0,G
Sedayjha Payne, Morgan St. (MEAC),Sr.,5-8,G
Ania McNicholas, Cal Poly (Big West),Sr.,5-7,G
Taylor Britt, Air Force (Mountain West),Sr.,5-7,G
Cori Lard, Miami (OH) (MAC),Jr.,5-9,G
D'Shantae Edwards, Bethune-Cookman (SWAC),So.,5-7,G
Kennedy Calhoun, Saint Louis (Atlantic 10),Jr.,5-5,G
Ivy Bales, American (Patriot),Sr.,5-10,G
Jada Leonard, Saint Peter's (MAAC),So.,5-8,G
Mireia Aguado, A&M-Corpus Christi (Southland),Sr.,5-9,G
Laylay Fantroy, Ohio (MAC),Fr.,5-11,G
Aniyah Augmon, New Mexico (Mountain West),Jr.,5-8,G
Kylee Mabry, Utah Valley (WAC),So.,5-11,G
Clara Gomez, New Hampshire (America East),Jr.,6-1,G
Madison Smith, Air Force (Mountain West),Jr.,5-8,G
Casey Valenti-Paea, Long Beach St. (Big West),Jr.,5-9,G
Jada Lee, Mount St. Mary's (MAAC),Sr.,5-5,G
Carmen Villalobos, Cleveland St. (Horizon),Sr.,6-1,G
Jaelyn Glenn, Kansas St. (Big 12),Jr.,6-1,G
Esmery Martinez, Arizona (Pac-12),Sr.,6-2,F
Audrey Roden, Nevada (Mountain West),Jr.,5-9,G
Leia Hanafin, Saint Mary's (CA) (WCC),Sr.,5-10,G
Trinity Hardy, Army West Point (Patriot),Jr.,5-8,G
Sanaa' St. Andre, Tennessee St. (OVC),Sr.,5-8,G
Malea Brown, Longwood (Big South),Jr.,5-5,G
Kayla White, Bethune-Cookman (SWAC),Jr.,5-6,F
Nikki Tom, UC Irvine (Big West),Jr.,5-9,G
Jeriah Warren, Florida (SEC),Jr.,6-0,G
Dymonique Maxie, Nevada (Mountain West),Fr.,5-8,G
Ahniysha Jackson, Siena (MAAC),Sr.,5-7,G
DeArica Pryor, New Orleans (Southland),Sr.,5-7,G
Imani Smith, Charlotte (AAC),Jr.,5-8,G
Sana'a Garrett, Jacksonville (ASUN),Fr.,5-7,G
Kamryn Jones, Houston (Big 12),Sr.,6-1,F
Alyssa Moreland, Brown (Ivy League),So.,5-11,F
Georgia Woolley, Syracuse (ACC),Jr.,6-0,G
Makayla Jackson, UC Riverside (Big West),So.,5-7,G
Deajanae Harvey, Fresno St. (Mountain West),Sr.,5-6,G
Jayda McNabb, Air Force (Mountain West),Fr.,5-10,G
Taylor McAulay, Drake (MVC),Sr.,5-11,G
Katelynn Limardo, Montana St. (Big Sky),Sr.,6-2,F
Emily Carver, App State (Sun Belt),Jr.,5-10,G
CC Mays, Marshall (Sun Belt),So.,5-8,G
Teresa Faustino, Western Ky. (CUSA),Sr.,5-9,G
Maddy Skorupski, Oakland (Horizon),So.,5-8,G
Gabi Fields, Northern Colo. (Big Sky),So.,5-5,G
Mackayla Scarlett, Xavier (Big East),Sr.,5-10,G
Kadie Deaton, Pacific (WCC),Sr.,5-11,G
Paloma  Garcia , Merrimack (NEC),Fr.,5-6,G
Jada Ryce, Winthrop (Big South),Jr.,5-5,G
Amelia Wood, Sacred Heart (NEC),So.,6-0,G
Taylor Bell, Southeastern La. (Southland),Jr.,5-11,G
Teya Sidberry, Boston College (ACC),So.,6-1,F
Shayla Sellers, Purdue Fort Wayne (Horizon),Sr.,6-0,G
Jordan Olivares, CSU Bakersfield (Big West),Sr.,5-8,G
Soufia Inoussa, LMU (CA) (WCC),Sr.,5-7,G
Cassidy Geddes, William & Mary (CAA),Fr.,5-7,G
Paige Lyons, Wagner (NEC),Jr.,5-7,G
Kyla Bryant, N.C. Central (MEAC),Fr.,5-7,G
Catherine Alben, Charleston So. (Big South),So.,5-7,G
Saniya Jackson, Valparaiso (MVC),Fr.,6-0,F
Madison St. Rose, Princeton (Ivy League),So.,5-10,G
Kerrighan  Dunn, Bethune-Cookman (SWAC),Jr.,5-9,G
Jelissa Reese, Ark.-Pine Bluff (SWAC),Jr.,5-9,G
Alex Giannaros, Boston U. (Patriot),Jr.,5-5,G
Josie Gilvin, Western Ky. (CUSA),So.,6-0,F
Taylor Thierry, Ohio St. (Big Ten),Jr.,6-0,G
Meghan Weinrich, Oral Roberts (Summit League),Jr.,5-10,G
Tayla Dalton, Saint Mary's (CA) (WCC),Sr.,5-9,G
Kiley Bess, Indiana St. (MVC),Sr.,6-0,G
Jocelyn Tate, Michigan St. (Big Ten),Jr.,5-11,F
Natalie Picton, Montana St. (Big Sky),Fr.,5-5,G
Tiarra East, Temple (AAC),Jr.,5-10,G
Payton Hull, Abilene Christian (WAC),Fr.,0-0,G
Ja'Leah Williams, Miami (FL) (ACC),Jr.,5-10,G
MiLaysia Fulwiley, South Carolina (SEC),Fr.,5-10,G
Tymberlin Criswell, A&M-Corpus Christi (Southland),Jr.,5-8,G
Emy Hayford, Fordham (Atlantic 10),Sr.,5-8,G
Alexis Johnson, Oakland (Horizon),Sr.,5-10,F
Ashley Hiraki, Santa Clara (WCC),Sr.,5-7,G
Mar'shaun Bostic, Auburn (SEC),Jr.,5-8,G
Darian Burgin, Alabama A&M (SWAC),Sr.,5-7,G
Britiya Curtis, Nicholls (Southland),Fr.,5-7,G
Mara Neira, Presbyterian (Big South),Jr.,5-7,G
Morgan Sharps, Bowling Green (MAC),Sr.,5-10,G
Alexis Callins, North Ala. (ASUN),Sr.,5-8,G
Mackenzie Hare, Marquette (Big East),So.,5-9,G
Kayba Laube, UNI (MVC),Jr.,5-9,G
Emma Von Essen, Hofstra (CAA),So.,5-9,G
Moira Joiner, Michigan St. (Big Ten),Sr.,5-10,G
Shy Tuelle, Campbell (CAA),Sr.,5-10,G
Londynn Jones, UCLA (Pac-12),So.,5-4,G
Sophie Phillips, Rhode Island (Atlantic 10),Jr.,6-0,G
Kailey Woolston, BYU (Big 12),Fr.,5-11,G
Maggie Espenmiller-McGraw, Montana (Big Sky),Sr.,5-10,G
Jordan Rosier, South Alabama (Sun Belt),Jr.,5-9,G
Nya Robertson, George Washington (Atlantic 10),So.,5-7,G
Madelyn Bischoff, Ball St. (MAC),Jr.,5-9,
Sharna Ayres, Northwestern St. (Southland),Sr.,5-10,G
Mia Mancini, Bryant (America East),Fr.,5-6,G
Brinae Alexander, Maryland (Big Ten),Sr.,5-10,F
Nicole Melious, La Salle (Atlantic 10),Fr.,5-8,G
Ella Stemmer, Lehigh (Patriot),Jr.,5-10,G
Vianè Cumber, New Mexico (Mountain West),Jr.,5-10,G
Frida Formann, Colorado (Pac-12),Sr.,5-10,G
Victoria Keenan, Stony Brook (CAA),Sr.,5-7,G
Micahla Funderburk, Gardner-Webb (Big South),Sr.,5-11,G
Matilda Ekh, Virginia Tech (ACC),Jr.,6-0,G
Mya Perry, Fla. Atlantic (AAC),So.,5-9,G
Vittoria Blasigh, South Fla. (AAC),Fr.,5-9,G
Ella Wanzer, Binghamton (America East),So.,5-10,G
Rachel Kent, Butler (Big East),Sr.,5-11,G
Blythe Pearson, Lipscomb (ASUN),Sr.,5-10,G
Micah Gray, Seton Hall (Big East),So.,5-8,G
Leia Beattie, Northern Ariz. (Big Sky),Jr.,5-9,G
Dakota Reeves, USC Upstate (Big South),Sr.,5-7,G
