Player,Team,Class,Height,Position
Luana Leite, San Francisco (WCC),Jr.,5-7,G
Hailey Giaratano, Southeastern La. (Southland),Sr.,5-10,G
Laila Jewett, UCF (Big 12),Jr.,5-10,G
Madison Booker, Texas (Big 12),Fr.,6-1,F
Shayeann Day-Wilson, Miami (FL) (ACC),Jr.,5-6,G
Lauren Jensen, Creighton (Big East),Sr.,5-10,G
RyAnne Walters, UC Riverside (Big West),Sr.,5-7,G
Jasmine Powell, Tennessee (SEC),Sr.,5-6,G
Alyssa Marin, UC Santa Barbara (Big West),Sr.,5-9,G
Jordyn Cambridge, Vanderbilt (SEC),Sr.,5-9,G
Kyra White, UTSA (AAC),Sr.,5-10,G
Abby Beeman, Marshall (Sun Belt),Sr.,5-4,G
Hannah Hidalgo, Notre Dame (ACC),Fr.,5-6,G
Sandra Frau-Garcia, UIC (MVC),Jr.,5-7,G
Payton Verhulst, Oklahoma (Big 12),Jr.,6-1,G
Adrianna Smith, Maine (America East),Jr.,5-10,F
Jaddan Simmons, Arizona St. (Pac-12),Sr.,5-9,G
Shyanne Sellers, Maryland (Big Ten),Jr.,6-2,G
Ally Knights, Hofstra (CAA),Sr.,5-6,G
KK Arnold, UConn (Big East),Fr.,5-9,G
Reagan Bradley, SMU (AAC),Sr.,5-8,G
Crystal Henderson, Georgia St. (Sun Belt),Fr.,5-5,G
Jacy Sheldon, Ohio St. (Big Ten),Sr.,5-10,G
Jada Walker, Baylor (Big 12),Jr.,5-7,G
Nina De Leon Negron, UIW (Southland),Sr.,5-6,G
Quierra Love, Southern Ill. (MVC),Sr.,5-4,G
Emma Smith, Denver (Summit League),So.,5-8,G
Sydney Gandy, LMU (CA) (WCC),Sr.,5-5,G
Makira Cook, Illinois (Big Ten),Sr.,5-6,G
Sara Wohlgemuth, North Ala. (ASUN),Sr.,5-4,G
Alexia Nelson, Towson (CAA),Sr.,5-7,G
Asia Avinger, Georgia (SEC),Jr.,5-7,G
Kaylah Rainey, Tulane (AAC),Sr.,5-6,G
Kaylee Smiler, BYU (Big 12),Sr.,5-8,G
Destiny Jackson, Rice (AAC),Sr.,5-9,G
Harmoni Turner, Harvard (Ivy League),Jr.,5-10,G
Jadyn Weltz, Binghamton (America East),So.,5-7,G
Hannah Cooper, Oral Roberts (Summit League),Sr.,5-7,G
Lucy Olsen, Villanova (Big East),Jr.,5-9,G
Addy Brown, Iowa St. (Big 12),Fr.,6-2,F
Dayshanette Harris, Clemson (ACC),Sr.,5-7,G
McKenzie Forbes, Southern California (Pac-12),Sr.,6-0,G
Rana Elhusseini, Buffalo (MAC),Sr.,5-3,G
Jayden Marable, NIU (MAC),Sr.,5-6,G
Caroline Lau, Northwestern (Big Ten),So.,5-9,G
Jordyn Dorsey, N.C. A&T (CAA),Jr.,5-9,G
Tippy Robertson, N.C. Central (MEAC),Sr.,5-4,G
Last-Tear Poa, LSU (SEC),Sr.,5-11,G
Mikyla Tolivert, Georgia St. (Sun Belt),Jr.,5-6,G
Diaba Konate, UC Irvine (Big West),Sr.,5-7,G
Ally Becki, Ball St. (MAC),Jr.,5-8,
Eleyana Tafisi, Utah Valley (WAC),Jr.,5-6,G
Ronnie Porter, Wisconsin (Big Ten),So.,5-4,G
Haven Ford, Murray St. (MVC),Fr.,5-6,G
Benthe Versteeg, Sacramento St. (Big Sky),So.,5-9,G
Saniya Rivers, NC State (ACC),Jr.,6-1,G
Anna Gret Asi, Oklahoma St. (Big 12),Jr.,5-8,G
Amaya Battle, Minnesota (Big Ten),So.,5-11,G
Denim DeShields, UAB (AAC),So.,5-5,G
Nakyah Terrell, High Point (Big South),Jr.,5-6,G
Silvia Nativi, Louisiana Tech (CUSA),Jr.,6-0,G
Madison Scott, Ole Miss (SEC),Sr.,6-1,F
Celeste Taylor, Ohio St. (Big Ten),Sr.,5-11,G
Taina Mair, Duke (ACC),Fr.,5-9,G
Anaiyah Tu'ua, California Baptist (WAC),So.,5-9,G
Chloe Hodges, Drexel (CAA),Sr.,6-0,F
Anne Bair, Manhattan (MAAC),So.,5-8,G
Antonia Bates , Rutgers (Big Ten),So.,6-3,F
Hailey Van Lith, LSU (SEC),Sr.,5-7,G
Tanajah Hayes, FIU (CUSA),Jr.,5-6,G
Ta'Niya Latson, Florida St. (ACC),So.,5-8,G
Brooke Mullin, Drexel (CAA),Sr.,5-11,G
Loyal McQueen, Alabama (SEC),Sr.,5-8,G
Iyanna Warren, Howard (MEAC),Sr.,5-3,G
Veronica Sheffey, San Diego (WCC),So.,5-9,G
Elena Rodriguez, Harvard (Ivy League),Jr.,6-2,G
Daisha Bradford, ULM (Sun Belt),Sr.,5-8,G
Tonie Morgan, Georgia Tech (ACC),So.,5-9,G
Paula Suarez, George Mason (Atlantic 10),Jr.,6-0,G
Miah Monahan, Eastern Ill. (OVC),Jr.,5-8,G
Elisa Mevius, Siena (MAAC),So.,5-10,G
Amyah Reaves, Hampton (CAA),Jr.,5-7,G
Lani Cornfield, Southern Miss. (Sun Belt),Jr.,5-6,G
Kitty Henderson, Columbia (Ivy League),Jr.,5-10,G
Ashley Hawkins, Gardner-Webb (Big South),Jr.,5-6,G
Ella Fajardo, Iona (MAAC),Jr.,5-5,G
Delma Zita, UTEP (CUSA),Jr.,5-8,G
Grace Larkins, South Dakota (Summit League),Jr.,5-9,G
Mackenzie Amalia, Canisius (MAAC),Sr.,5-5,G
Maraja Pass, Elon (CAA),Fr.,5-4,G
Yarden Garzon, Indiana (Big Ten),So.,6-3,G
Anaya Peoples, DePaul (Big East),Sr.,5-10,G
Amari Whiting, BYU (Big 12),Fr.,5-10,G
Sonia Smith, George Mason (Atlantic 10),Sr.,5-7,G
Breanna Campbell, Marshall (Sun Belt),Sr.,5-5,G
Paige Meyer, South Dakota St. (Summit League),Jr.,5-6,G
Veronica Charles, Morehead St. (OVC),Sr.,5-4,G
Nya Threatt, UT Arlington (WAC),So.,5-6,G
Gemma Nunez, Campbell (CAA),So.,5-7,G
Grace Cave, Omaha (Summit League),Jr.,5-7,G
Alexis Mead, Western Ky. (CUSA),Jr.,5-5,G
Grace  Arnolie, Brown (Ivy League),So.,5-8,G
Sydney Burns, UC Davis (Big West),Jr.,5-9,G
Samantha Johnston, Southern Utah (WAC),Sr.,6-0,G
Kameryn Dorsey, Saint Francis (PA) (NEC),Fr.,5-6,G
Keshuna Luckett, Jackson St. (SWAC),Sr.,5-8,G
Trinity San Antonio, Grand Canyon (WAC),Jr.,5-10,G
Domonique Davis, Southern Miss. (Sun Belt),Sr.,5-6,G
