Height,MINUTES_PLAYED,THREE_POINTS_MADE,FREE_THROWS_MADE,TOTAL_REBOUNDS,ASSISTS,TURNOVERS,STEALS,BLOCKS,FOULS
74,978,1,71,331,12,42,47,83,73
69,788,35,64,128,107,100,50,29,91
69,728,12,40,81,105,80,30,0,39
76,261,0,9,62,11,22,8,25,32
74,822,44,78,175,52,64,46,12,46
78,669,3,83,196,19,59,18,41,92
67,1230,53,88,274,150,67,62,8,50
63,1029,29,52,90,197,81,26,1,46
75,875,2,96,353,67,71,19,19,94
69,971,21,48,65,145,51,50,7,61
74,768,12,102,198,59,51,23,30,47
70,849,29,43,165,112,75,51,5,67
78,631,1,80,201,19,30,25,68,55
67,959,36,40,83,36,30,52,0,46
70,940,76,42,144,81,45,38,6,59
65,1003,38,53,119,56,59,39,4,41
75,526,0,48,171,19,51,8,8,55
72,804,86,73,91,30,31,26,9,52
73,694,33,38,125,38,51,32,33,74
69,1023,47,139,153,88,85,47,6,73
76,700,18,36,136,25,45,16,29,43
69,967,13,124,155,62,81,31,10,84
77,596,0,33,212,18,54,14,47,61
69,983,56,76,151,89,77,34,7,70
72,862,20,88,172,56,65,26,30,61
69,943,55,107,172,50,80,43,0,51
67,971,31,63,137,66,92,51,5,56
68,1103,39,50,69,114,75,42,34,79
71,829,46,10,161,39,33,30,31,61
68,848,31,41,87,58,83,48,2,76
68,989,33,128,128,83,90,53,3,61
74,728,1,38,285,33,79,18,3,62
69,999,46,90,112,66,95,48,2,43
73,564,0,27,93,32,47,23,28,62
73,547,1,52,183,24,55,19,30,64
75,861,1,167,367,66,68,51,25,73
69,840,33,54,137,96,68,40,8,56
66,995,39,110,126,161,87,92,1,74
67,896,60,30,61,50,57,49,3,78
65,977,48,57,130,126,100,61,2,80
65,961,56,103,116,55,88,48,2,39
70,874,18,48,195,54,48,56,20,84
75,865,1,98,190,35,62,30,59,83
67,932,59,58,143,162,87,54,8,59
78,464,0,18,112,14,33,10,49,65
71,903,24,115,165,68,156,58,10,78
75,718,0,55,148,18,67,13,29,79
65,975,49,81,89,62,62,41,4,58
75,738,4,44,155,30,50,18,46,82
66,987,36,59,96,98,81,27,8,56
71,955,60,36,92,55,53,29,10,57
73,726,6,72,209,25,56,28,20,59
74,1004,20,151,179,171,108,41,20,86
68,974,28,117,142,65,72,38,6,72
74,901,0,72,244,43,83,49,44,82
67,865,38,108,112,141,113,40,0,48
74,625,13,44,154,77,56,27,16,63
66,701,19,44,78,91,64,53,5,36
65,954,24,79,98,71,78,53,1,67
75,810,60,44,207,40,46,6,11,40
68,1089,65,138,110,40,71,59,2,51
71,774,56,67,176,29,48,29,3,68
68,987,24,91,63,48,70,27,4,72
65,872,16,50,118,65,83,58,6,58
70,892,9,80,205,56,52,27,12,39
73,750,1,77,252,22,66,36,60,83
79,582,0,30,108,27,32,8,48,51
67,844,16,112,100,151,72,67,3,78
74,480,1,34,144,32,31,7,36,52
75,546,0,46,179,17,52,13,31,90
66,1037,44,106,127,162,83,77,4,58
70,790,15,40,106,92,76,62,4,78
73,1037,2,80,244,50,70,26,16,66
70,1008,48,68,238,113,98,32,7,70
78,995,2,103,330,52,62,17,60,50
75,954,1,127,254,56,114,51,24,113
68,971,62,36,84,99,91,29,4,73
68,850,88,35,64,48,86,36,12,71
68,1075,82,81,95,87,47,53,6,70
72,816,13,82,162,47,30,52,16,68
76,617,0,25,176,11,45,25,54,65
67,1086,62,109,179,102,96,61,5,78
71,884,44,21,97,110,75,44,21,71
76,712,5,65,201,9,58,22,63,116
70,683,19,45,68,81,44,27,5,72
67,664,24,14,77,76,43,48,2,47
67,821,21,17,89,54,50,52,4,54
67,881,16,19,152,84,42,35,5,41
67,809,4,90,110,52,86,67,1,87
74,919,0,93,261,32,77,27,15,58
69,1109,38,124,146,111,92,42,6,55
75,829,29,49,232,42,72,27,5,57
72,844,23,10,107,104,76,24,12,64
75,1090,2,110,221,81,80,35,21,42
75,872,2,59,274,20,58,20,17,82
64,1023,52,53,86,119,72,63,1,62
72,810,1,50,151,95,66,36,10,53
68,1023,62,61,101,139,97,44,7,77
72,991,35,120,94,69,84,93,15,39
69,703,41,112,64,83,52,25,2,54
74,415,1,16,103,11,41,20,46,46
65,997,42,76,117,81,56,19,2,47
69,719,9,30,103,122,51,53,5,75
74,622,0,47,164,32,44,25,38,74
67,1052,7,109,168,99,132,53,2,102
67,915,32,20,63,121,52,13,1,55
75,857,0,114,151,41,82,9,26,71
71,622,4,64,141,43,72,48,18,86
63,916,49,40,96,93,73,20,6,71
68,722,2,26,85,71,66,59,11,53
73,768,8,152,260,30,60,38,25,73
69,912,54,21,51,77,24,24,13,49
69,704,0,37,117,40,58,44,3,58
74,902,50,124,209,78,62,28,26,62
66,1104,45,170,200,170,109,145,3,86
70,660,4,18,139,47,34,48,12,68
68,907,41,83,70,148,53,28,4,41
75,845,57,24,126,88,66,28,15,81
68,580,24,56,63,53,44,48,4,41
77,549,3,29,133,16,36,5,25,66
68,539,56,10,56,23,26,47,1,60
70,826,42,38,68,37,46,44,6,52
70,836,11,61,114,114,63,42,17,59
71,861,36,80,124,89,77,41,19,71
64,957,8,44,91,96,77,38,4,59
66,953,48,66,101,130,59,37,2,37
70,1006,65,61,108,91,54,24,7,59
73,840,0,61,260,27,43,34,24,52
67,713,19,88,75,60,66,54,3,35
73,828,0,49,216,44,61,20,9,53
68,527,16,31,113,37,52,55,1,82
75,565,0,22,112,8,20,8,34,53
70,878,26,72,225,94,80,66,33,84
69,815,81,13,88,33,77,18,1,60
70,941,9,11,76,143,62,16,8,68
65,1115,87,93,75,87,68,35,0,33
71,653,6,74,49,99,70,37,11,62
73,799,68,41,151,17,35,32,12,48
70,745,14,6,104,49,32,62,12,57
72,638,14,52,243,47,51,33,7,67
74,920,24,56,230,60,75,25,31,63
71,911,0,66,213,109,96,41,30,75
74,690,0,71,234,38,90,14,48,72
66,742,8,33,100,105,73,47,8,103
72,942,1,104,201,51,68,98,11,104
70,1002,25,43,184,140,104,121,9,64
70,956,1,103,147,83,83,42,14,105
73,887,7,49,227,20,62,31,25,78
70,979,29,175,115,149,124,23,8,58
73,853,20,29,170,59,48,32,34,47
68,779,5,89,157,66,63,54,5,58
66,980,56,76,91,99,75,37,4,72
69,773,4,45,135,39,57,39,25,64
65,1007,49,43,91,125,95,38,0,66
65,670,2,38,84,113,60,43,3,51
71,577,13,10,62,14,24,21,29,26
67,901,47,80,129,54,78,52,4,62
77,371,0,12,59,3,34,4,32,41
71,576,6,22,144,42,41,41,15,62
75,427,12,3,53,12,23,8,21,27
72,856,45,51,113,108,58,16,11,43
67,788,39,47,52,57,74,48,10,53
73,1065,12,118,275,33,86,49,56,84
73,778,0,49,241,24,79,23,44,78
68,1102,6,130,216,80,66,31,11,55
72,698,0,13,174,53,79,44,34,79
66,971,21,123,262,82,66,43,1,64
65,628,55,40,97,55,36,75,1,23
64,885,24,39,104,75,111,72,5,82
69,782,22,29,68,80,96,61,11,57
65,967,45,89,119,65,59,40,3,60
66,948,33,44,120,96,57,48,2,72
63,984,77,108,77,52,62,36,3,30
73,983,11,135,288,33,85,27,22,58
75,984,33,50,272,51,66,45,33,87
68,669,10,75,73,111,89,25,3,50
66,599,26,95,127,92,60,49,4,73
71,846,23,95,85,38,72,30,3,80
69,1072,42,75,187,137,86,111,7,80
71,1013,38,30,160,56,43,35,11,40
74,834,71,27,202,33,31,13,37,65
74,976,46,42,156,60,44,46,49,65
75,793,5,35,223,20,53,18,14,107
69,859,32,20,81,98,42,10,2,48
71,772,20,26,209,43,50,23,12,52
63,783,27,93,65,99,94,64,1,57
75,538,3,33,116,36,36,14,32,65
74,583,0,38,128,10,34,15,33,70
75,755,1,67,152,44,51,25,34,79
69,693,35,49,92,107,91,30,6,74
69,996,47,96,154,116,92,61,10,73
